"ride_id","booker_id","driver_id","vehicle_id","ride_status_id","pickup_city_id","dropoff_city_id","ride_option_id","payment_method_id","booking_timestamp","pickup_latitude","pickup_longitude","pickup_address","dropoff_latitude","dropoff_longitude","dropoff_address","booker_name","booker_email","booker_phone","driver_name","driver_phone","driver_license","vehicle_license_plate","cancellation_reason_id","travel_distance_km","duration_minutes","passenger_count","pickup_timestamp","dropoff_timestamp","driver_rating","rating","base_fare","distance_fare","time_fare","surge_multiplier","subtotal","tip_amount","total_fare"
"01KF23GVQ9DWB32C6NVEJB8CTH","84b95b2f-5f2f-4c0d-951e-03d595ec4510","c6fc3618-dea4-450c-9e6c-3cbbca7f12f5","4dd4c579-2ea9-4dcd-9510-52c0107730e6","1","TH-40","TH-40","2","3","2026-01-16T07:33:11.401428","16.252356362235986","102.69229472020518","บ้านหัน, พระบุ, อำเภอพระยืน, จังหวัดขอนแก่น, 40320, ประเทศไทย","16.229136423290278","102.80988311191817","บ้านโนนทัน, ตำบลโนนสมบูรณ์, วังสวรรค์, อำเภอบ้านแฮด, จังหวัดขอนแก่น, ประเทศไทย","ธีรลักษณ์ ธรรมทินนา","thrrmniymthatthn@example.net","074009445","พชรภรณ์ ธรรมนิยม","067 753 5865","17637711","พฐ 4803","1","19.24612125710477","34","1","2026-01-16T07:33:11.401428","2026-01-16T08:07:11.401428","4.6","4","55.0","125.1","68.0","1.44","357.26","0.0","357.26"
"01KF56795M67P6QMCBYBBBD94A","9cee0761-0bd3-4a39-b805-363b33659a3f","a8a9031f-6954-4a03-9efb-66be856358da","9f52d002-c2c4-4dd2-97d4-b6f5b303eb5f","1","TH-12","TH-12","3","1","2026-01-17T12:18:06.516127","14.013667307090282","100.3477800674664","ตำบลราษฎร์นิยม, องค์การบริหารส่วนตำบลราษฎร์นิยม, อำเภอไทรน้อย, จังหวัดนนทบุรี, 11110, ประเทศไทย","13.934321293934623","100.3078430092604","นบ.5033, บ้านปลายคลองมะสง, ตำบลทวีวัฒนา, องค์การบริหารส่วนตำบลทวีวัฒนา, อำเภอไทรน้อย, จังหวัดนนทบุรี, 11150, ประเทศไทย","อรจิรา นาฏคายี","ekiiyrtisakdithnadhatthkrrm@example.net","025-216056","ยูซุฟ ไทนิยม","02 520 5621","22973767","ญน 4044","1","14.672911698466084","33","1","2026-01-17T12:18:06.516127","2026-01-17T12:51:06.516127","3.6","3","20.0","146.73","66.0","1.0","232.73","0.0","232.73"
"01KEDHDD7TEKQPTKT2BHW0PG4Y","b9ac4e6d-2a98-4b62-aa13-07e7c1e7569c","3b1ef804-b1ad-4271-acaa-d310ee689218","20588657-d300-445a-87b8-ecb7a0fbd695","1","TH-93","TH-93","5","5","2026-01-08T07:51:55.258316","7.76020591380537","100.18178693709004","พท.5050, ทะเลน้อย, พนางตุง, อำเภอควนขนุน, จังหวัดพัทลุง, ประเทศไทย","7.212551429921469","99.94539558808293","เขาหัวช้าง, อำเภอตะโหมด, จังหวัดพัทลุง, ประเทศไทย","ประจิน นำธวัช","chaphphrrnthnkuurekhiiyw@example.com","0-4893-0146","เมทนี วุฑฒยากร","+66 3373 5788","20610096","8ฮก 923","1","98.92195258945651","60","2","2026-01-08T07:51:55.258316","2026-01-08T08:51:55.258316","4.9","5","80.0","1187.06","180.0","1.38","1996.94","0.0","1996.94"
"01KE2B7Y6BK80Y6W0NH6RDJ2YY","bb50a7c5-5f0c-489d-8230-856304661349","92df581c-f794-45d1-a349-5c1c4a85ce9d","ccfbdccd-7fd4-4c65-b3de-596cc13dc6cc","1","TH-20","TH-20","6","2","2026-01-03T23:32:25.803963","12.634838911297198","100.84564887913231","สัตหีบ, เขตรอุดมศักดิ์, อำเภอสัตหีบ, จังหวัดชลบุรี, 20180, ประเทศไทย","13.114101239822363","101.212190052552","หนองไผ่แก้ว, อำเภอบ้านบึง, จังหวัดชลบุรี, ประเทศไทย","ปิยนาฎ ตั้งกุลงาม","eyaawratntwaneyiiym@example.com","03 029 0085","ฮาฟิต ถนัดหัตถกรรม","+66 7915 6105","07569911","กล 3065","1","99.43011887648856","75","8","2026-01-03T23:32:25.803963","2026-01-04T00:47:25.803963","4.9","4","150.0","1988.6","375.0","1.0","2513.6","0.0","2513.6"
"01KF6P7ZV5DP300NPTXP32098X","61440fad-b63e-47f7-b1bc-0dca9751dc15","a7fb6220-bcdc-4432-a723-e40792db7716","2d669dab-d507-4972-8785-4a04e84f9428","2","TH-30","TH-30","2","1","2026-01-18T02:17:21.381415","14.773750058139033","101.93426574991292","บ้านซูขาง, นกออก, อำเภอปักธงชัย, จังหวัดนครราชสีมา, ประเทศไทย","14.849259370294396","101.95576858503102","ตำบลนากลาง, อำเภอสูงเนิน, จังหวัดนครราชสีมา, ประเทศไทย","วรรณกร ฉัตรอภิเที่ยงค่ำ","betchakamphu@example.org","+66 922 741 445","ฐิติยาพร ธรรมนิยม","0 902 807 625","26704942","3ยฟ 2256","7","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"01KDZ5ECY8D99343S10Q5KK944","b5b4916d-ef32-4167-ba48-14b8503ff34a","e40204b2-5bbf-443a-9df5-585d718e8750","d98816ce-4beb-4d03-964b-34e3d82f9f70","2","TH-84","TH-84","5","2","2026-01-02T17:53:22.760088","8.658854420334887","99.38867398031924","เวียงสระ, บ้านส้อง, อำเภอเวียงสระ, จังหวัดสุราษฎร์ธานี, 84190, ประเทศไทย","8.678880990382803","99.28048669743987","เมืองเวียง, อำเภอเวียงสระ, จังหวัดสุราษฎร์ธานี, 84190, ประเทศไทย","เอกชัย ไทไชโย","dwngthabthimsphakhchkhng@example.net","051 970322","จันทภา พรสีมา","079-402105","20798706","1กล 3282","2","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"01KFS30R2P361R5TXTTKNBCCTP","8a3c1694-ce18-4c80-9d34-c9d7f29d675b","1ceb880e-a901-4b0a-8269-97aa1e7a0fac","8ea405a5-0e41-4357-a4be-b85b1b0226b2","1","TH-70","TH-70","5","5","2026-01-25T05:46:55.318872","13.354412667475401","99.73623091989349","3206, บ้านห้วยยางโทน, ทุ่งหลวง, อำเภอปากท่อ, จังหวัดราชบุรี, ประเทศไทย","13.826249041586474","99.89298255776161","บ้านโคกหม้อ, เบิกไพร, อำเภอบ้านโป่ง, จังหวัดราชบุรี, 70110, ประเทศไทย","หล้า บุญญาภิรมย์","hmsinsaychaan@example.net","+66 (0) 5913 7291","สุทธิณัฐ ติณรัตน์","070 657342","86216271","6ษฎ 6204","1","82.33370192749406","54","3","2026-01-25T05:46:55.318872","2026-01-25T06:40:55.318872","4.1","2","80.0","988.0","162.0","1.0","1230.0","0.0","1230.0"
"01KE1V2BV0QEZVA0MZ7QZBS49K","42db1379-7ec7-45c7-b63b-4ab060788bf7","76f08659-1634-4523-9e7b-7ba6225addda","da9814c2-4b92-4b7f-9d15-ee3303c8f563","1","TH-20","TH-20","2","3","2026-01-03T18:49:45.952738","13.07523677081748","101.18750314243088","3574, นิคมอุตสาหกรรม ดับบลิวเอชเอ อีสเทิร์น ซีบอร์ด 1, บ้านเขาคันทรง, ตำบล เขาคันทรง, อำเภอศรีราชา, จังหวัดชลบุรี, ประเทศไทย","13.077550809544881","101.25252343609013","อำเภอหนองใหญ่, จังหวัดชลบุรี, ประเทศไทย","หลี ราชมณี","bthrngokml@example.org","02 635 9603","อัญชัญ ธรรมทินนา","090-010-2658","43597627","7ภล 7327","1","10.584288772442209","22","4","2026-01-03T18:49:45.952738","2026-01-03T19:11:45.952738","4.4","5","55.0","68.8","44.0","1.32","221.5","0.0","221.5"
"01KFQYSEFB9P3AD9TFB0MX7BSV","3ed956d2-b790-4273-8484-dadedad68577","b38eaf84-c54a-4c83-b38d-a1e366881892","f387199c-63fc-44fa-9056-a15615845d37","2","TH-20","TH-20","2","4","2026-01-24T19:13:47.371226","13.097170402964213","101.23575308913327","ตำบล เขาคันทรง, อำเภอบ้านบึง, จังหวัดชลบุรี, ประเทศไทย","13.112317382006628","101.29299438043685","อำเภอหนองใหญ่, จังหวัดชลบุรี, ประเทศไทย","ธนนนท์ ตวงทอง","thngenuuediisuchin@example.net","045-706597","อธิตยา ตันเผ่า","+663 665 0316","44287794","5อป 2794","3","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"01KEZPCFK4VVM8W43TWG3W1D8W","4c7fa972-7215-4a6b-a240-e5222e5a71ab","816a9497-b16f-4479-b85d-d15183ad6381","05e3d5b2-a57f-4482-9a4e-ad5b5c1c4d9d","2","TH-90","TH-90","4","1","2026-01-15T09:05:07.556765","6.63099187825006","100.82928343494532","บ้านทัพหลวง, ท่าพระยา, อำเภอสะบ้าย้อย, จังหวัดสงขลา, ประเทศไทย","6.5564607176547005","100.77002621340769","อำเภอสะบ้าย้อย, จังหวัดสงขลา, ประเทศไทย","คมกริบ เนตร์มณี","uechaawandii@example.net","0-3857-7988","ธีริสรา ศรีอุ่น","044-788208","43555393","6ชอ 7678","5","0.0","0","0","","","","","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
